id;plage;pharmacie;telephone1;telephone2;telephone3;localisation
654;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;ELOBI;222 20 41 37;658 18 37 18;;MOKOLO ELOBI
655;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;MVOG-ADA;222 22 43 25;;;Carrefour. BOUT- CARRE MVOG-ADA
656;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;SANTE;222 22 30 03 /;690 10 02 40;;face HÔPITAL DE LA CAISSE
657;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;ATHERA;620 26 13 34;650 62 05 05;;TiTI GARAGE - Résidence VERTE
658;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;EFOULAN;242 06 74 26;;;"à côté PALAIS CHARLES ATANGANA
(EFOULAN)"
659;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;SOTOWNEK;242 67 51 15;697 95 38 86;;Carrefour MEEC.
660;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;LAC  du;222 22 20 80;;;MINISTERE de l'EQUIPEMENT
661;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;SIMBA'A;222 31 48 62;656 19 41 52 /;;Montée JOUVENCE MENDONG
662;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;MELEN 8;222 31 68 63;242 08 31 89;;Carrefour BIYEM-ASSI
663;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;CENTRE MESSASSI (Ydé)  du;670.36.79.82;696.22.05.82;;Carrefour MESSASSI
664;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;PALAIS;691 54 16 18;;;après la STATION TOTAL ETOUDI
665;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;PERSEVERANCE  la;243 84 41 35;243 84 67 75;;AWAE ESCALIER
666;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;MINDILI;655 77 32 70;222 30 22 80;;Carrefour de L'AMITIE - EKOUMDOUM
667;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;MATURITE;655 44 91 38;672 31 10 98;;NEPTUNE _ ODZA
668;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;BIEN ETRE  du;677 33 80 28;;;ELIG ESSONO (face HÔTEL GRAND
669;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;K'FOUR MOTO GEORGES;242 19 28 27;698 01 05 19;;MOTO GEORGES
670;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;LYRIS;681 32 45 92;;;MIMBOMAN CHAPELLE  face Feicom
671;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;ELIG-EDZOA  d';677 71 81 27;;;face CASSE ELIG EDZOA
672;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;STADE  du;222 20 67 10;;;STADE OMNISPORT
673;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;NKONDONGO;242 00 47 60;242 11 54 07;;NKONDONGO ECOLE
674;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;GLOIRE;691 11 59 91;683 95 31 42;;"300m après USINE DES EAUX 
NKOLBISSON"
675;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;CARREFOUR EMIA;222 23 42 07;222 23 00 86 /;;EMIA
676;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;GRACE  de la;242 04 15 61;;;MENDONG - Quincaillerie de la PAIX
677;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;NSIMEYONG;694 01 12 46;620 26 36 89;;Chapelle NSIMEYONG
678;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;BRUXELLOISE;242 17 38 63;651 30 10 53;;après la station TRADEX EMANA
679;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;NOBEL;690 30 18 18;;;Carrefour ANCIEN 6ième ETOUDI
680;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;THERIAQUE;679 68 05 11;695 76 41 15;;A côté SOUS-PREFECTURE
681;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;MESSAMENDONGO;693 05 53 75;650 26 51 41;;Carrefour MESSAMENDONGO
682;Jeu. 14 Sept. 2023 à 8h - Ven. 15 Sept. 2023 à 8h;SAINTE URIEL;693 74 14 05;652 73 22 65;;DERNIER POTEAU _ EKIE
683;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;FRANCAISE;222 22 14 76;677 62 08 47;;Face ancienne BICIC CENTRALE
684;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;HORTENSIA  les;243 60 79 84;698 64 80 95;;POLYCLINIQUE TSINGA
685;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;MEMORIAL  le;674 09 23 87;222 30 05 81;;Carrefour Iptec à Nkolndongo
686;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;COLOMBE;699 10 43 73;654 83 64 71;;TEXACO OMNISPORT
687;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;LYCEE BILINGUE  du;222 22 98 37;242 72 22 03;;Carrefour HÔTEL DU PLATEAU
688;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;AHALA  d';690 80 93 02;682 93 60 72;;Barrière AHALA
689;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;CYPRES  du;242 06 47 59;;;1ier Carrefour NKOLBISSON
690;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;MANDELA;242 79 29 85;;;Face CHU
691;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;TERANGA  la;698 83 22 97;;;à 100m SUPERMARCHE DOVV
692;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;UNIVERSELLE;650 71 43 82;698 18 29 08;;BIYEM-ASSI BISCUITERIE
693;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;HERMES;243 64 11 81;677 98 70 76;;face BOULANGERIE NEZAFI _ EMANA
694;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;MANGUIERS  des;242 06 04 09;694 02 64 61;;Rue DES MANGUIERS
695;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;SAINTE ELISABETH de NKOMO;243 15 30 58;;;Carrefour NKOMO _ face BOULANGERIE
696;Mer. 13 Sept. 2023 à 8h - Jeu. 14 Sept. 2023 à 8h;FOI  de la;656 49 68 11;681 52 63 19;;PETIT MARCHE D'ODZA
697;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;CAMEROUNAISE;242 00 11 33;;;CATHEDRALE YAOUNDE
698;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;ALLIANCE;222 21 88 54;693 78 75 35;;ECOLE PUBLIQUE DE BASTOS
699;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;BOTANIK;694 73 54 60;;;SHAKESPEARE MIMBOMAN I
700;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;CITE  de la;691 43 50 45;;;TITI GARAGE - A COTE DU QUEBEC
701;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;ROSEE  la;242 15 60 16;;;Carrefour TRADEX ELEVEURS
702;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;NSAM EFOULAN;242 19 40 81;222 31 98 59;;Carrefour NSAM
703;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;MOLIVA;222 23 00 82;;;MOBIL (OIL LYBIA) MADAGASCAR
704;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;QUEENS;656 77 61 78;670 37 80 09;;à côté TRADEX NKOLBIKOK
705;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;JERUSALEM;222 31 01 09;698 29 47 88;;Carrefour TKC - ETOUG-EBE
706;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;BEATITUDES  les;242 03 75 82;677 96 21 16;;Carrefour LYCEE DE BIYEM - ASSI
707;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;SAINTE GABRIELLE;692 26 38 93;;;NYOM 1 - au Pont DJONASSI
708;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;ETOUDI  d';242 03 50 51;;;Face FOKOU ETOUDI
709;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;EKOUNOU;222 30 67 78;;;LABOGENIE EKOUNOU
710;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;GOD'S GLORY PHARMACY;242 15 89 55;243 23 05 31;;Entrée KOWEIT CITY - ODZA
711;Mar. 12 Sept. 2023 à 8h - Mer. 13 Sept. 2023 à 8h;BETHEL PHARMACY;222 30 07 41;;;EKIE _ BOULANGERIE MERLOT
712;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;SOLEIL  du;222 22 14 23;;;CINEMA ABBIA
713;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;EMMANUEL;222 20 02 44;;;MONTEE ECOLE DE POLICE
714;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;CHATEAU DE MIMBOMAN  du;242 06 22 98;;;CHAPELLE D'EMOMBO
715;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;POPULAIRE;222 23 23 41;;;A côté SUPERMARCHÉ DOVV ESSOS
716;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;REFERENCE  la;242 04 25 96;652 62 36 72 /;;TRANSFORMATEUR NGOUSSO
717;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;ESSELE;691 98 27 60;;;Carrefour DAMASE  face DEPÔT DE BOIS
718;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;BLED  du;674 43 15 22;;;Carrefour CARAMBA - NKOLBISSON
719;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;7 COLLINES;222 22 65 71;;;Immeuble FEUGUIF _ MINI FERME
720;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;PRINCIPALE;222 31 49 08;;;Entrée IRIC - Carrefour OBILI
721;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;DIGNITE;651 53 12 83;697 68 26 88;;OLEMBE _ Entrée ECOLE
722;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;BLEUE PLUS;222 21 14 92;;;face HOPITAL GENERAL
723;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;H&L;696 61 39 74;680 93 36 62;;face Boulangerie Essomba
724;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;ODZA  d';691 86 77 72;;;Carrefour MBOG-ABANG
725;Lun. 11 Sept. 2023 à 8h - Mar. 12 Sept. 2023 à 8h;MINKAN  de;697 24 77 75;673 49 07 17;;"MINKAN entrée par Carrefour TERMINUS
ODZA"
726;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;INTENDANCE  de l';222 22 46 94;;;Carrefour INTENDANCE
727;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;"GRANDE PHARMACIE DES
LUMIERES";222 20 58 55;;;ROND-POINT NLONGKAK
728;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;JOURDAIN  le;676 88 95 25;;;à côté de l’Immeuble MACABO -
729;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;MONTESQUIEU;650 83 75 32;;;COLLEGE MONTESQUIEU - MVOG ADA
730;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;BON BERGER  le;242 60 67 77;6 99 98 51 68;;NOUVELLE ROUTE OMNISPORTS - Rue
731;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;CHAPELLE  de la;222 21 33 21;;;CHAPELLE NGOUSSO
732;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;CAPUCINES  des;242 66 63 05;;;SIANTOU SUPERIEUR
733;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;OYOM ABANG;699 93 11 81;673 28 49 44;;PLACE DU MARCHE
734;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;ROYALE;222 22 32 17;242 06 11 01;;ELIG-EFFA
735;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;SIMBA'A;222 31 48 62;656 19 41 52 /;;Montée JOUVENCE MENDONG
736;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;ETOILE  de l';222 31 49 62;696 49 42 51;;Montée MAISONS BLANCHES
737;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;BETHESDA;222 31 39 97;;;TAM-TAM WEEK-END
738;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;EMANA  d';222 21 42 94;;;à côté du Supermarché Noblesse - EMANA
739;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;BAYARD;670 11 54 36;;;face HÔPITAL GYNECO OBSTÉTRIQUE
740;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;PERSEVERANCE  la;243 84 41 35;243 84 67 75;;AWAE ESCALIER
741;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;SAINT VICTOR ESSOMBA;672 87 87 33;;;MOSQUEE ESSOMBA
744;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;SAINT MARTIN;222 23 18 69;;;A COTE KATIOS
742;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;MINDILI;655 77 32 70;222 30 22 80;;Carrefour de L'AMITIE - EKOUMDOUM
743;Sam. 09 Sept. 2023 à 8h - Lun. 11 Sept. 2023 à 8h;MATURITE;655 44 91 38;672 31 10 98;;NEPTUNE _ ODZA
745;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;BASTOS;222 20 65 55;;;CARREF.BASTOS
746;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;GENEVOISE;679 69 27 80;657 83 10 64;;Nvlle Rte MIMBOMAN  Carrefour
747;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;CRYSTALLIS  le;242 71 05 86;667 08 95 63;;Carrefour ETOA MEKI
748;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;SAINTE ANNE;696 48 84 87;653 19 27 79;;face Polyclinique FOUDA – quartier
749;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;PRIORITE SANTE;671 02 52 81;656 10 94 95;;"Brigade de Gendarmerie de
NKOLMESSENG"
750;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;SIFA;659 60 58 43;;;face CHAPELLE MVOG-MBI
751;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;MARIJOVA;699 98 86 83;;;"Entre Carrefour MEEC et DOVV - Nvlle
route NKOLBISSONG"
752;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;SAINT ANDRÉ CHATEAU;671 93 66 78;655 56 54 81;;Montée PARC _ face MATGENIE
753;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;BIYEM-ASSI  de;222 31 71 93;676 11 37 86;;face NIKI
754;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;ELITE;222 31 65 25;670 12 67 26;;Carrefour GP – MVOG-BETSI
755;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;OLEMBE;658 24 86 75;;;face STATION PETROLEX  OLEMBE
756;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;TONGOLO;222 20 94 85;657 95 18 18;;Carrefour CLUB YANNICK
757;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;SANTE & VIE;682 24 74 78;;;face GP BITENG
758;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;MESSAMENDONGO;693 05 53 75;650 26 51 41;;Carrefour MESSAMENDONGO
759;Ven. 08 Sept. 2023 à 8h - Sam. 09 Sept. 2023 à 8h;SAINTE URIEL;693 74 14 05;652 73 22 65;;DERNIER POTEAU _ EKIE
760;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;MOISSON  de la;222 23 16 19;;;POSTE CENTRALE
761;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;TSINGA  de;699 55 01 55;;;face PMI TSINGA
762;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;AUMACHA;680 82 25 57;657 65 34 20 /;;"MIMBOMAN PETIT MARCHÉ  derriére
SAPEUR"
763;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;SANTE;222 22 30 03 /;690 10 02 40;;face HÔPITAL DE LA CAISSE
764;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;ATHERA;620 26 13 34;650 62 05 05;;TiTI GARAGE - Résidence VERTE
765;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;TROPICANA;673 22 71 44;;;entrée OFFICE DU BAC _ MVAN
766;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;SOTOWNEK;242 67 51 15;697 95 38 86;;Carrefour MEEC.
767;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;MESSA;222 22 53 54;694 28 73 04;;Entrée CAMP YEYAP _ MESSA
768;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;GET BETTER;655 33 16 36 /;;;Carrefour du CENTRE DES HANDICAPES
769;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;OBILI CHAPELLE;222 31 81 22;694 28 56 83 /;;CHAPELLE OBILI
770;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;CENTRE MESSASSI (Ydé)  du;670.36.79.82;696.22.05.82;;Carrefour MESSASSI
771;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;PALAIS;691 54 16 18;;;après la STATION TOTAL ETOUDI
772;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;SAINT VICTOR ESSOMBA;672 87 87 33;;;MOSQUEE ESSOMBA
773;Jeu. 07 Sept. 2023 à 8h - Ven. 08 Sept. 2023 à 8h;FOI  de la;656 49 68 11;681 52 63 19;;PETIT MARCHE D'ODZA
774;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;PETALES  des;222 23 15 97;;;vers LE CAPITOLE
775;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;VERSET  du;222 20 95 07;;;DERRIERE CINEMA REX
776;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;BALANCE  la;222 23 70 74;;;CARREF.ANGUISSA
777;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;ELIG-EDZOA  d';677 71 81 27;;;face CASSE ELIG EDZOA
778;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;STADE  du;222 20 67 10;;;STADE OMNISPORT
779;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;OLEZOA;222 23 93 37;;;MOBIL OLEZOA
780;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;GLOIRE;691 11 59 91;683 95 31 42;;300m après USINE DES EAUX 
781;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;SAINTE BERNADETTE;691 30 34 90;650 68 49 78;;CRADAT
782;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;ACACIAS  des;699 61 96 54;;;BIYEM-ASSI CENTRE
783;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;BRUXELLOISE;242 17 38 63;651 30 10 53;;après la station TRADEX EMANA
784;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;NOBEL;690 30 18 18;;;Carrefour ANCIEN 6ième ETOUDI
785;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;RELAIS DE NKOMO  le;653 74 33 45;655 82 72 54;;PAROISSE NKOAYOS
786;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;GOD'S GLORY PHARMACY;242 15 89 55;243 23 05 31;;Entrée KOWEIT CITY - ODZA
787;Mer. 06 Sept. 2023 à 8h - Jeu. 07 Sept. 2023 à 8h;BETHEL PHARMACY;222 30 07 41;;;EKIE _ BOULANGERIE MERLOT
788;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;20 MAI  du;222 23 92 88;699 71 25 53;;AVENUE DU 20 MAI
789;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;GOLF  du;692 33 47 46;;;Carrefour GOLF
790;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;FLECHE  la;696 29 28 89;678 30 77 04;;MIMBOMAN TERMINUS
791;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;COLOMBE;699 10 43 73;654 83 64 71;;TEXACO OMNISPORT
792;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;LYCEE BILINGUE  du;222 22 98 37;242 72 22 03;;Carrefour HÔTEL DU PLATEAU
793;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;MVOG ATANGANA MBALLA;222 30 67 85;;;ENTREE M. MVOG-MBI
794;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;CYPRES  du;242 06 47 59;;;1ier Carrefour NKOLBISSON
795;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;UNIVERSITE  de l';222 23 30 48;672 91 08 08;;Carrefour CETIC NGOA EKELE
796;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;MELEN 8;222 31 68 63;242 08 31 89;;Carrefour BIYEM-ASSI
463;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;ACACIAS  des;699 61 96 54;;;BIYEM-ASSI CENTRE
797;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;HERMES;243 64 11 81;677 98 70 76;;face BOULANGERIE NEZAFI _ EMANA
798;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;MANGUIERS  des;242 06 04 09;694 02 64 61;;Rue DES MANGUIERS
799;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;PERSEVERANCE  la;243 84 41 35;243 84 67 75;;AWAE ESCALIER
800;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;ODZA  d';691 86 77 72;;;Carrefour MBOG-ABANG
801;Mar. 05 Sept. 2023 à 8h - Mer. 06 Sept. 2023 à 8h;MINKAN  de;697 24 77 75;673 49 07 17;;"MINKAN entrée par Carrefour TERMINUS
ODZA"
802;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;MFOUNDI  du;222 23 78 88;;;Carrefour ELIG ESSONO
803;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;PROVINCIALE;222 20 94 93;6 96 31 65 86 /;;NLONGKAK PREFECTURE
804;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;ISIS;222 23 35 78;;;EMOMBO 2ième CARREFOUR
805;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;CITE  de la;691 43 50 45;;;TITI GARAGE - A COTE DU QUEBEC
806;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;ROSEE  la;242 15 60 16;;;Carrefour TRADEX ELEVEURS
807;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;CODEX;242 07 59 88;;;AHALA 1  Entrée PHARMACAM
808;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;MOLIVA;222 23 00 82;;;MOBIL (OIL LYBIA) MADAGASCAR
809;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;VIE  de la;222 22 67 87;;;face FOKOU MOKOLO
810;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;BEATO MEMASO;222 31 57 52;;;Lycée d'ETOUG-EBE _ Montée SCIENCE
811;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;VOLUNTAS DEI;675 77 46 65;699 97 18 59;;BIYEM-ASSI LAC
812;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;SAINTE GABRIELLE;692 26 38 93;;;NYOM 1 - au Pont DJONASSI
813;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;ETOUDI  d';242 03 50 51;;;Face FOKOU ETOUDI
814;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;THERIAQUE;679 68 05 11;695 76 41 15;;"A côté SOUS-PREFECTURE
NKONDENGUI"
815;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;CYGNE ODZA  le;657 35 88 25;222 30 13 76;;face TOTAL BORNE 10 - ODZA
816;Lun. 04 Sept. 2023 à 8h - Mar. 05 Sept. 2023 à 8h;EKOUMDOUM;650 85 30 31;620 02 44 92;;HAPPY EKOUMDOUM
817;Sam. 02 Sept. 2023 à 8h - Lun. 04 Sept. 2023 à 8h;SION;222 22 20 21;;;TEXACO MARCHE CENTRAL
818;Sam. 02 Sept. 2023 à 8h - Lun. 04 Sept. 2023 à 8h;ECOLE de POLICE;222 03 63 25;699 97 68 79 /;;ECOLE DE POLICE
819;Sam. 02 Sept. 2023 à 8h - Lun. 04 Sept. 2023 à 8h;KETCHY;222 23 90 22;;;MADAGASCAR
820;Sam. 02 Sept. 2023 à 8h - Lun. 04 Sept. 2023 à 8h;MVOG-ADA;222 22 43 25;;;Carrefour. BOUT- CARRE MVOG-ADA
821;Sam. 02 Sept. 2023 à 8h - Lun. 04 Sept. 2023 à 8h;POPULAIRE;222 23 23 41;;;A côté SUPERMARCHÉ DOVV ESSOS
822;Sam. 02 Sept. 2023 à 8h - Lun. 04 Sept. 2023 à 8h;REFERENCE  la;242 04 25 96;652 62 36 72 /;;TRANSFORMATEUR NGOUSSO
